id,name,description,barcode,price,sale,imageurl,imagefilename,category,subcategory
1774,TROPICANA SLIM SWEET DIABETICS BOX 50S,TROPS SWEET DIABETICS BOX 50S,749921000323,50046,43900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/TROPS-SWEET-DIABETICS-BOX-50S.jpg,TROPS-SWEET-DIABETICS-BOX-50S.jpg,Bahan Pokok,Gula
1775,TROPICANA SLIM SWEETENER 50X2.5G,TROPS SWEETENER 50X2.5G,749921001016,48285,43500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/Tropicana-Slim-Sweetener-Classic-50-500x500.jpg,Tropicana-Slim-Sweetener-Classic-50-500x500.jpg,Bahan Pokok,Gula
1776,ANLENE ACTIFIT COKLAT 250G,ANLENE ACTIFIT COKLAT 250G,9415007009801,41400,36000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/ANLENE-ACTIFIT-COKLAT-250G.jpg,ANLENE-ACTIFIT-COKLAT-250G.jpg,Bahan Pokok,Susu
2060,SOZZIS RASA PIZZA 3X25G,SOZZIS RASA PIZZA 3X25G,8993110071157,7881,7100,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/SOZZIS-RASA-PIZZA-3X25G.jpg,SOZZIS-RASA-PIZZA-3X25G.jpg,Bahan Pokok,Ikan/Daging/Ayam olah
4220,ANLENE ACTIFIT COKLAT 600G,ANLENE ACTIFIT COKLAT 600G,9415007018452,73480,66800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007018452.jpg,9415007018452.jpg,Bahan Pokok,Susu
4222,ANLENE ACTIFIT VANILA 250G,ANLENE ACTIFIT VANILA 250G,9415007008033,36160,32000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007008033.jpg,9415007008033.jpg,Bahan Pokok,Susu
4224,ANLENE GOLD 600G,ANLENE GOLD 600G,9415007009146,105450,95000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007009146.jpg,9415007009146.jpg,Bahan Pokok,Susu
4226,ANLENE GOLD COKLAT 250G,ANLENE GOLD COKLAT 250G,9415007009818,43230,39300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007009818.jpg,9415007009818.jpg,Bahan Pokok,Susu
4228,ANLENE GOLD COKLAT 600G,ANLENE GOLD COKLAT 600G,9415007018469,106400,95000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007018469.jpg,9415007018469.jpg,Bahan Pokok,Susu
4230,ANLENE GOLD MOCHA CARAMELLO250G,ANLENE GOLD MOCHA CARAMELLO250G,9415007039716,44955,40500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007039716.jpg,9415007039716.jpg,Bahan Pokok,Susu
4232,ANLENE GOLD VANILA 250G,ANLENE GOLD VANILA 250G,9415007008040,43230,39300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007008040.jpg,9415007008040.jpg,Bahan Pokok,Susu
4234,ANLENE GOLD VANILA 600G,ANLENE GOLD VANILA 600G,9415007026341,98235,88500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007026341.jpg,9415007026341.jpg,Bahan Pokok,Susu
4236,ANLENE ONE A DAY COKELAT 4S,ANLENE ONE A DAY COKELAT 4S,9415007026686,25300,23000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007026686.jpg,9415007026686.jpg,Bahan Pokok,Susu
4238,ANMUM MATERNA COKELAT 200G,ANMUM MATERNA COKELAT 200G,9415007013297,49155,43500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007013297.jpg,9415007013297.jpg,Bahan Pokok,Susu
4240,ANMUM MATERNA COKELAT 400G,ANMUM MATERNA COKELAT 400G,9415007022633,91280,81500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007022633.jpg,9415007022633.jpg,Bahan Pokok,Susu
4242,BEAR BRAND GOLD MALT CAN 140ML,BEAR BRAND GOLD MALT CAN 140ML,8992696417946,9379,8300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696417946.jpg,8992696417946.jpg,Bahan Pokok,Susu
4244,BEAR BRAND ORIGINAL CAN 189ML,BEAR BRAND ORIGINAL CAN 189ML,8992696404441,8736,7800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696404441.jpg,8992696404441.jpg,Bahan Pokok,Susu
4246,BEAR BRAND TEH PUTIH CAN 140ML,BEAR BRAND TEH PUTIH CAN 140ML,8992696417922,9545,8300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696417922.jpg,8992696417922.jpg,Bahan Pokok,Susu
4248,BEBELAC 3 MADU BOX 200G NEW,BEBELAC 3 MADU BOX 200G NEW,8990057182731,35595,31500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057182731.jpg,8990057182731.jpg,Bahan Pokok,Susu
4250,BEBELAC 3 MADU NEW BOX 400G,BEBELAC 3 MADU NEW BOX 400G,8990057782733,64935,58500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057782733.jpg,8990057782733.jpg,Bahan Pokok,Susu
4252,BEBELAC 3 VANILA BOX 400G NEW,BEBELAC 3 VANILA BOX 400G NEW,8990057782740,67275,58500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057782740.jpg,8990057782740.jpg,Bahan Pokok,Susu
4254,BEBELAC 4 MADU NEW BOX 400G,BEBELAC 4 MADU NEW BOX 400G,8990057782757,61902,54300,,,Bahan Pokok,Susu
4255,BEBELAC 4 VANILA NEW BOX 400G,BEBELAC 4 VANILA NEW BOX 400G,8990057782764,59730,54300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057782764.jpg,8990057782764.jpg,Bahan Pokok,Susu
4257,BEBELOVE 1 200G,BEBELOVE 1 200G,8990057182717,40341,35700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057182717.jpg,8990057182717.jpg,Bahan Pokok,Susu
4259,BEBELOVE 1 400G,BEBELOVE 1 400G,8990057782719,71595,64500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057782719.jpg,8990057782719.jpg,Bahan Pokok,Susu
4261,BEBELOVE 2 BOX 400G,BEBELOVE 2 BOX 400G,8990057782726,72207,63900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8990057782726.jpg,8990057782726.jpg,Bahan Pokok,Susu
4263,BENDERA UHT COKLAT 225ML,BENDERA UHT COKLAT 225ML,8992753033720,5994,5400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992753033720.jpg,8992753033720.jpg,Bahan Pokok,Susu
4265,BENDERA UHT FULL CREAM 225ML,BENDERA UHT FULL CREAM 225ML,8992753033744,6048,5400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992753033744.jpg,8992753033744.jpg,Bahan Pokok,Susu
4267,BENDERA UHT L FAT COKLAT 225ML,BENDERA UHT L FAT COKLAT 225ML,8992753018796,6160,5500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992753018796.jpg,8992753018796.jpg,Bahan Pokok,Susu
4269,BENDERA UHT STRAWBERRY 225ML,BENDERA UHT STRAWBERRY 225ML,8992753033737,5994,5400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992753033737.jpg,8992753033737.jpg,Bahan Pokok,Susu
4271,BONEETO CHOCOLATE 350G,BONEETO CHOCOLATE 350G,9415007003588,43355,37700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007003588.jpg,9415007003588.jpg,Bahan Pokok,Susu
4273,BONEETO CHOCOLATE 700G,BONEETO CHOCOLATE 700G,9415007007296,76890,69900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007007296.jpg,9415007007296.jpg,Bahan Pokok,Susu
4275,BONEETO UHT CHOCO CHOC 125ML,BONEETO UHT CHOCO CHOC 125ML,9415007014423,3663,3300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007014423.jpg,9415007014423.jpg,Bahan Pokok,Susu
4277,BONEETO UHT CHOCO CHOC 180ML,BONEETO UHT CHOCO CHOC 180ML,9415007014416,5390,4900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/9415007014416.jpg,9415007014416.jpg,Bahan Pokok,Susu
4279,CARNATION SKM COKELAT CAN375G,CARNATION SKM COKELAT CAN375G,8992696426504,10602,9300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696426504.jpg,8992696426504.jpg,Bahan Pokok,Susu
4281,CARNATION SKM PUTIH CAN 375G,CARNATION SKM PUTIH CAN 375G,8992696426481,10235,8900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696426481.jpg,8992696426481.jpg,Bahan Pokok,Susu
4283,CHIL-KID 3 DHA MADU BOX 200G,CHIL-KID 3 DHA MADU BOX 200G,8992802120029,38060,34600,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992802120029.jpg,8992802120029.jpg,Bahan Pokok,Susu
4285,CHIL-KID 3 DHA VANILA BOX 200G,CHIL-KID 3 DHA VANILA BOX 200G,8992802120036,38640,34500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992802120036.jpg,8992802120036.jpg,Bahan Pokok,Susu
4287,CHIL-SCHOOL 4 VANILA BOX 800G,CHIL-SCHOOL 4 VANILA BOX 800G,8992802180085,138510,121500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992802180085.jpg,8992802180085.jpg,Bahan Pokok,Susu
4289,DANCOW 1+ COKELAT 800GR,DANCOW 1+ COKELAT 800GR,8992696415034,114885,99900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696415034.jpg,8992696415034.jpg,Bahan Pokok,Susu
4291,DANCOW 1+ MADU BOX 200G,DANCOW 1+ MADU BOX 200G,8992696405561,26320,23500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696405561.jpg,8992696405561.jpg,Bahan Pokok,Susu
4293,DANCOW 1+ MADU BOX 400G,DANCOW 1+ MADU BOX 400G,8992696405578,52059,46900,,,Bahan Pokok,Susu
4294,DANCOW 1+ MADU BOX 800G,DANCOW 1+ MADU BOX 800G,8992696405585,95088,84900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696405585.jpg,8992696405585.jpg,Bahan Pokok,Susu
4296,DANCOW 1+ VANILA BOX 400G,DANCOW 1+ VANILA BOX 400G,8992696407671,53466,46900,,,Bahan Pokok,Susu
4297,DANCOW 1+ VANILA BOX 800G,DANCOW 1+ VANILA BOX 800G,8992696407688,100050,87000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407688.jpg,8992696407688.jpg,Bahan Pokok,Susu
4299,DANCOW 3+ COKLAT BOX 800G,DANCOW 3+ COKLAT BOX 800G,8992696407619,96025,83500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407619.jpg,8992696407619.jpg,Bahan Pokok,Susu
4301,DANCOW 3+ MADU BOX 200G,DANCOW 3+ MADU BOX 200G,8992696407015,25630,23300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407015.jpg,8992696407015.jpg,Bahan Pokok,Susu
4303,DANCOW 3+ MADU BOX 400G,DANCOW 3+ MADU BOX 400G,8992696407039,51415,45500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407039.jpg,8992696407039.jpg,Bahan Pokok,Susu
4305,DANCOW 3+ MADU BOX 800G,DANCOW 3+ MADU BOX 800G,8992696407053,92685,83500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407053.jpg,8992696407053.jpg,Bahan Pokok,Susu
4307,DANCOW 3+ VANILA BOX 400G,DANCOW 3+ VANILA BOX 400G,8992696407695,52325,45500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407695.jpg,8992696407695.jpg,Bahan Pokok,Susu
4309,DANCOW 3+ VANILA BOX 800G,DANCOW 3+ VANILA BOX 800G,8992696407701,102350,89000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407701.jpg,8992696407701.jpg,Bahan Pokok,Susu
4311,DANCOW 5+ COKLAT BOX 400G,DANCOW 5+ COKLAT BOX 400G,8992696407824,48285,43500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407824.jpg,8992696407824.jpg,Bahan Pokok,Susu
4313,DANCOW 5+ COKLAT BOX 800G,DANCOW 5+ COKLAT BOX 800G,8992696407831,93240,84000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407831.jpg,8992696407831.jpg,Bahan Pokok,Susu
4315,DANCOW 5+ MADU BOX 400G,DANCOW 5+ MADU BOX 400G,8992696407725,50025,43500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696407725.jpg,8992696407725.jpg,Bahan Pokok,Susu
4317,DANCOW 5+ MADU BOX 800G,DANCOW 5+ MADU BOX 800G,8992696410312,95760,84000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696410312.jpg,8992696410312.jpg,Bahan Pokok,Susu
4319,DANCOW BATITA MADU BOX 150G,DANCOW BATITA MADU BOX 150G,8992696418950,14720,12800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696418950.jpg,8992696418950.jpg,Bahan Pokok,Susu
4325,DANCOW BATITA MADU BOX 500G,DANCOW BATITA MADU BOX 500G,8992696418905,45100,41000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696418905.jpg,8992696418905.jpg,Bahan Pokok,Susu
4327,DANCOW BATITA VANILA BOX 150G,DANCOW BATITA VANILA BOX 150G,8992696421288,14208,12800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992696421288.jpg,8992696421288.jpg,Bahan Pokok,Susu
4329,BIMOLI POUCH 1L,BIMOLI POUCH 1L,8992628022156,16872,15200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992628022156.jpg,8992628022156.jpg,Bahan Pokok,Minyak Goreng
4331,BIMOLI POUCH 2L,BIMOLI POUCH 2L,8992628020152,31350,27500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992628020152.jpg,8992628020152.jpg,Bahan Pokok,Minyak Goreng
4333,BIMOLI SPECIAL POUCH 2L,BIMOLI SPECIAL POUCH 2L,8992628032155,31350,28500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992628032155.jpg,8992628032155.jpg,Bahan Pokok,Minyak Goreng
4335,BIMOLI SPESIAL POUCH 1L,BIMOLI SPESIAL POUCH 1L,8992628034159,17741,15700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992628034159.jpg,8992628034159.jpg,Bahan Pokok,Minyak Goreng
4337,FILMA MARGARIN SAC 200G,FILMA MARGARIN SAC 200G,8992826211017,4107,3700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992826211017.jpg,8992826211017.jpg,Bahan Pokok,Minyak Goreng
4339,FILMA POUCH 1L,FILMA POUCH 1L,8992826111072,17050,15500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992826111072.jpg,8992826111072.jpg,Bahan Pokok,Minyak Goreng
4341,FILMA POUCH 2L,FILMA POUCH 2L,8992826111089,33695,29300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992826111089.jpg,8992826111089.jpg,Bahan Pokok,Minyak Goreng
4343,KUNCI MAS POUCH 2L,KUNCI MAS POUCH 2L,8992826112215,33005,28700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992826112215.jpg,8992826112215.jpg,Bahan Pokok,Minyak Goreng
4345,ROSE BRAND MINYAK GORENG PCH 2L,ROSE BRAND MINYAK GORENG PCH 2L,8993093664711,30464,27200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8993093664711.jpg,8993093664711.jpg,Bahan Pokok,Minyak Goreng
4347,SIMAS PALMIA MARGARIN SAC 200G,SIMAS PALMIA MARGARIN SAC 200G,8992628510158,5130,4500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992628510158.jpg,8992628510158.jpg,Bahan Pokok,Minyak Goreng
4349,SOVIA MINYAK GORENG POUCH 2L,SOVIA MINYAK GORENG POUCH 2L,8993496107068,34200,30000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8993496107068.jpg,8993496107068.jpg,Bahan Pokok,Minyak Goreng
4351,3 AYAM TELOR MIE KUNING 200G,3 AYAM TELOR MIE KUNING 200G,89686000061,4674,4100,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686000061.jpg,089686000061.jpg,Bahan Pokok,Mie
4353,ABC MIE GRG AYAM PEDAS LM CUP80G,ABC MIE GRG AYAM PEDAS LM CUP80G,8992388112678,5936,5300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992388112678.jpg,8992388112678.jpg,Bahan Pokok,Mie
4355,ABC MIE GULAI AYAM PEDAS 70G,ABC MIE GULAI AYAM PEDAS 70G,8992388111206,2442,2200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992388111206.jpg,8992388111206.jpg,Bahan Pokok,Mie
4357,ABC MIE S. PEDAS GRG AYAM LIMAU80G,ABC MIE S. PEDAS GRG AYAM LIMAU80G,8992388112401,2664,2400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992388112401.jpg,8992388112401.jpg,Bahan Pokok,Mie
4359,ABC MIE S. PEDAS GULAI AYAM CUP60G,ABC MIE S. PEDAS GULAI AYAM CUP60G,8992388121267,5405,4700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992388121267.jpg,8992388121267.jpg,Bahan Pokok,Mie
4361,ABC MIE S.PEDAS SOP TOMAT 70G,ABC MIE S.PEDAS SOP TOMAT 70G,8992388111145,2420,2200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8992388111145.jpg,8992388111145.jpg,Bahan Pokok,Mie
4363,ATOOM BULAN MIE TELOR 200G,ATOOM BULAN MIE TELOR 200G,8994357010015,6498,5700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8994357010015.jpg,8994357010015.jpg,Bahan Pokok,Mie
4365,BAKMI MEWAH RASA AYAM 110G,BAKMI MEWAH RASA AYAM 110G,8996001520291,9085,7900,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8996001520291.jpg,8996001520291.jpg,Bahan Pokok,Mie
4367,BIHUNKU AYAM BAWANG 55G,BIHUNKU AYAM BAWANG 55G,8993118731046,2800,2500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8993118731046.jpg,8993118731046.jpg,Bahan Pokok,Mie
4369,BIHUNKU SOTO SPESIAL 55G,BIHUNKU SOTO SPESIAL 55G,8993118731077,2775,2500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/8993118731077.jpg,8993118731077.jpg,Bahan Pokok,Mie
4371,INDOMIE AYAM BAWANG 69G,INDOMIE AYAM BAWANG 69G,89686010015,2442,2200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010015.jpg,089686010015.jpg,Bahan Pokok,Mie
4373,INDOMIE AYAM SPECIAL 68G,INDOMIE AYAM SPECIAL 68G,89686010046,2736,2400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010046.jpg,089686010046.jpg,Bahan Pokok,Mie
4375,INDOMIE GORENG 85G,INDOMIE GORENG 85G,89686010947,2622,2300,,,Bahan Pokok,Mie
4376,INDOMIE GORENG AYAM BAWANG 85,INDOMIE GORENG AYAM BAWANG 85,89686043334,2599,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686043334.jpg,089686043334.jpg,Bahan Pokok,Mie
4378,INDOMIE GORENG CABE IJO 85GR,INDOMIE GORENG CABE IJO 85GR,89686010718,2712,2400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010718.jpg,089686010718.jpg,Bahan Pokok,Mie
4380,INDOMIE GORENG DENDENG BALADO 90GR,INDOMIE GORENG DENDENG BALADO 90GR,89686043983,3105,2700,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686043983.jpg,089686043983.jpg,Bahan Pokok,Mie
4382,INDOMIE GORENG IGA PENYET 80G,INDOMIE GORENG IGA PENYET 80G,89686043686,2622,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686043686.jpg,089686043686.jpg,Bahan Pokok,Mie
4384,INDOMIE GORENG JUMBO 129G,INDOMIE GORENG JUMBO 129G,89686041705,3774,3400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686041705.jpg,089686041705.jpg,Bahan Pokok,Mie
4386,INDOMIE GORENG PEDAS 79G,INDOMIE GORENG PEDAS 79G,89686011036,2599,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686011036.jpg,089686011036.jpg,Bahan Pokok,Mie
4388,INDOMIE GORENG RENDANG 91G,INDOMIE GORENG RENDANG 91G,89686910704,2553,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686910704.jpg,089686910704.jpg,Bahan Pokok,Mie
4390,INDOMIE GORENG SOTO 85G,INDOMIE GORENG SOTO 85G,89686043358,2645,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686043358.jpg,089686043358.jpg,Bahan Pokok,Mie
4392,INDOMIE GRG JMB AYAM PGG 127G,INDOMIE GRG JMB AYAM PGG 127G,89686041767,3740,3400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686041767.jpg,089686041767.jpg,Bahan Pokok,Mie
4394,INDOMIE KALDU AYAM 65G,INDOMIE KALDU AYAM 65G,89686010107,2576,2300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010107.jpg,089686010107.jpg,Bahan Pokok,Mie
4396,INDOMIE KARI AYAM 70G,INDOMIE KARI AYAM 70G,89686010527,2760,2400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010527.jpg,089686010527.jpg,Bahan Pokok,Mie
4398,INDOMIE SOTO MIE 70G,INDOMIE SOTO MIE 70G,89686010343,2508,2200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686010343.jpg,089686010343.jpg,Bahan Pokok,Mie
4400,INDOMIE SOTO SPC KOYA 75G,INDOMIE SOTO SPC KOYA 75G,89686910384,2486,2200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686910384.jpg,089686910384.jpg,Bahan Pokok,Mie
4402,POP MIE AYAM 75 G,POP MIE AYAM 75 G,89686060027,5175,4500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686060027.jpg,089686060027.jpg,Bahan Pokok,Mie
4404,POP MIE AYAM BAWANG 75G,POP MIE AYAM BAWANG 75G,89686060065,5060,4400,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686060065.jpg,089686060065.jpg,Bahan Pokok,Mie
4406,POP MIE BASO 75G,POP MIE BASO 75G,89686060126,5130,4500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686060126.jpg,089686060126.jpg,Bahan Pokok,Mie
4408,POP MIE BASO SPC 75G,POP MIE BASO SPC 75G,89686060164,4840,4400,,,Bahan Pokok,Mie
4409,POP MIE GORENG PEDAS 80G,POP MIE GORENG PEDAS 80G,89686060775,5472,4800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686060775.jpg,089686060775.jpg,Bahan Pokok,Mie
4411,POP MIE GORENG SPECIAL 80G,POP MIE GORENG SPECIAL 80G,89686060744,5280,4800,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/089686060744.jpg,089686060744.jpg,Bahan Pokok,Mie
